"行政区域代码
更新时间: 2020.1
数据来源: http://www.mca.gov.cn/article/sj/xzqh/2020/2020/202003061536.html"						
序号	名称	区域编码	父级区域编码	区域等级	全称	
area_id	area_name	area_code	area_parentcode	area_level	area_allname	
1729	鄂城区	420704	420700	3	湖北省/鄂州市/鄂城区	
1730	荆门市	420800	420000	2	湖北省/荆门市	
1731	东宝区	420802	420800	3	湖北省/荆门市/东宝区	
1732	掇刀区	420804	420800	3	湖北省/荆门市/掇刀区	
1733	沙洋县	420822	420800	3	湖北省/荆门市/沙洋县	
1734	钟祥市	420881	420800	3	湖北省/荆门市/钟祥市	
1735	京山市	420882	420800	3	湖北省/荆门市/京山市	
1736	孝感市	420900	420000	2	湖北省/孝感市	
1737	孝南区	420902	420900	3	湖北省/孝感市/孝南区	
1738	孝昌县	420921	420900	3	湖北省/孝感市/孝昌县	
1739	大悟县	420922	420900	3	湖北省/孝感市/大悟县	
1740	云梦县	420923	420900	3	湖北省/孝感市/云梦县	
1741	应城市	420981	420900	3	湖北省/孝感市/应城市	
1742	安陆市	420982	420900	3	湖北省/孝感市/安陆市	
1743	汉川市	420984	420900	3	湖北省/孝感市/汉川市	
1744	荆州市	421000	420000	2	湖北省/荆州市	
1745	沙市区	421002	421000	3	湖北省/荆州市/沙市区	
1746	荆州区	421003	421000	3	湖北省/荆州市/荆州区	
1747	公安县	421022	421000	3	湖北省/荆州市/公安县	
1748	监利县	421023	421000	3	湖北省/荆州市/监利县	
1749	江陵县	421024	421000	3	湖北省/荆州市/江陵县	
1750	石首市	421081	421000	3	湖北省/荆州市/石首市	
1751	洪湖市	421083	421000	3	湖北省/荆州市/洪湖市	
1752	松滋市	421087	421000	3	湖北省/荆州市/松滋市	
1753	黄冈市	421100	420000	2	湖北省/黄冈市	
1754	黄州区	421102	421100	3	湖北省/黄冈市/黄州区	
1755	团风县	421121	421100	3	湖北省/黄冈市/团风县	
1756	红安县	421122	421100	3	湖北省/黄冈市/红安县	
1757	罗田县	421123	421100	3	湖北省/黄冈市/罗田县	
1758	英山县	421124	421100	3	湖北省/黄冈市/英山县	
1759	浠水县	421125	421100	3	湖北省/黄冈市/浠水县	
1760	蕲春县	421126	421100	3	湖北省/黄冈市/蕲春县	
1761	黄梅县	421127	421100	3	湖北省/黄冈市/黄梅县	
1762	麻城市	421181	421100	3	湖北省/黄冈市/麻城市	
1763	武穴市	421182	421100	3	湖北省/黄冈市/武穴市	
1764	咸宁市	421200	420000	2	湖北省/咸宁市	
1765	咸安区	421202	421200	3	湖北省/咸宁市/咸安区	
1766	嘉鱼县	421221	421200	3	湖北省/咸宁市/嘉鱼县	
1767	通城县	421222	421200	3	湖北省/咸宁市/通城县	
1768	崇阳县	421223	421200	3	湖北省/咸宁市/崇阳县	
1769	通山县	421224	421200	3	湖北省/咸宁市/通山县	
1770	赤壁市	421281	421200	3	湖北省/咸宁市/赤壁市	
1771	随州市	421300	420000	2	湖北省/随州市	
1772	曾都区	421303	421300	3	湖北省/随州市/曾都区	
1773	随县	421321	421300	3	湖北省/随州市/随县	
1774	广水市	421381	421300	3	湖北省/随州市/广水市	
1775	恩施土家族苗族自治州	422800	420000	2	湖北省/恩施土家族苗族自治州	
1776	恩施市	422801	422800	3	湖北省/恩施土家族苗族自治州/恩施市	
1777	利川市	422802	422800	3	湖北省/恩施土家族苗族自治州/利川市	
1778	建始县	422822	422800	3	湖北省/恩施土家族苗族自治州/建始县	
1779	巴东县	422823	422800	3	湖北省/恩施土家族苗族自治州/巴东县	
1780	宣恩县	422825	422800	3	湖北省/恩施土家族苗族自治州/宣恩县	
1781	咸丰县	422826	422800	3	湖北省/恩施土家族苗族自治州/咸丰县	
1782	来凤县	422827	422800	3	湖北省/恩施土家族苗族自治州/来凤县	
1783	鹤峰县	422828	422800	3	湖北省/恩施土家族苗族自治州/鹤峰县	
1784	仙桃市	429004	420000	3	湖北省/仙桃市	
1785	潜江市	429005	420000	3	湖北省/潜江市	
1786	天门市	429006	420000	3	湖北省/天门市	
1787	神农架林区	429021	420000	3	湖北省/神农架林区	
1788	湖南省	430000	000000	1	湖南省	
1789	长沙市	430100	430000	2	湖南省/长沙市	
1790	芙蓉区	430102	430100	3	湖南省/长沙市/芙蓉区	
1791	天心区	430103	430100	3	湖南省/长沙市/天心区	
1792	岳麓区	430104	430100	3	湖南省/长沙市/岳麓区	
1793	开福区	430105	430100	3	湖南省/长沙市/开福区	
1794	雨花区	430111	430100	3	湖南省/长沙市/雨花区	
1795	望城区	430112	430100	3	湖南省/长沙市/望城区	
1796	长沙县	430121	430100	3	湖南省/长沙市/长沙县	
1797	浏阳市	430181	430100	3	湖南省/长沙市/浏阳市	
1798	宁乡市	430182	430100	3	湖南省/长沙市/宁乡市	
1799	株洲市	430200	430000	2	湖南省/株洲市	
1800	荷塘区	430202	430200	3	湖南省/株洲市/荷塘区	
1801	芦淞区	430203	430200	3	湖南省/株洲市/芦淞区	
1802	石峰区	430204	430200	3	湖南省/株洲市/石峰区	
1803	天元区	430211	430200	3	湖南省/株洲市/天元区	
1804	渌口区	430212	430200	3	湖南省/株洲市/渌口区	
1805	攸县	430223	430200	3	湖南省/株洲市/攸县	
1806	茶陵县	430224	430200	3	湖南省/株洲市/茶陵县	
1807	炎陵县	430225	430200	3	湖南省/株洲市/炎陵县	
1808	醴陵市	430281	430200	3	湖南省/株洲市/醴陵市	
1809	湘潭市	430300	430000	2	湖南省/湘潭市	
1810	雨湖区	430302	430300	3	湖南省/湘潭市/雨湖区	
1811	岳塘区	430304	430300	3	湖南省/湘潭市/岳塘区	
1812	湘潭县	430321	430300	3	湖南省/湘潭市/湘潭县	
1813	湘乡市	430381	430300	3	湖南省/湘潭市/湘乡市	
1814	韶山市	430382	430300	3	湖南省/湘潭市/韶山市	
1815	衡阳市	430400	430000	2	湖南省/衡阳市	
1816	珠晖区	430405	430400	3	湖南省/衡阳市/珠晖区	
1817	雁峰区	430406	430400	3	湖南省/衡阳市/雁峰区	
1818	石鼓区	430407	430400	3	湖南省/衡阳市/石鼓区	
1819	蒸湘区	430408	430400	3	湖南省/衡阳市/蒸湘区	
1820	南岳区	430412	430400	3	湖南省/衡阳市/南岳区	
1821	衡阳县	430421	430400	3	湖南省/衡阳市/衡阳县	
1822	衡南县	430422	430400	3	湖南省/衡阳市/衡南县	
1823	衡山县	430423	430400	3	湖南省/衡阳市/衡山县	
1824	衡东县	430424	430400	3	湖南省/衡阳市/衡东县	
1825	祁东县	430426	430400	3	湖南省/衡阳市/祁东县	
1826	耒阳市	430481	430400	3	湖南省/衡阳市/耒阳市	
1827	常宁市	430482	430400	3	湖南省/衡阳市/常宁市	
1828	邵阳市	430500	430000	2	湖南省/邵阳市	
1829	双清区	430502	430500	3	湖南省/邵阳市/双清区	
1830	大祥区	430503	430500	3	湖南省/邵阳市/大祥区	
1831	北塔区	430511	430500	3	湖南省/邵阳市/北塔区	
1832	新邵县	430522	430500	3	湖南省/邵阳市/新邵县	
1833	邵阳县	430523	430500	3	湖南省/邵阳市/邵阳县	
1834	隆回县	430524	430500	3	湖南省/邵阳市/隆回县	
1835	洞口县	430525	430500	3	湖南省/邵阳市/洞口县	
1836	绥宁县	430527	430500	3	湖南省/邵阳市/绥宁县	
1837	新宁县	430528	430500	3	湖南省/邵阳市/新宁县	
1838	城步苗族自治县	430529	430500	3	湖南省/邵阳市/城步苗族自治县	
1839	武冈市	430581	430500	3	湖南省/邵阳市/武冈市	
1840	邵东市	430582	430500	3	湖南省/邵阳市/邵东市	
1841	岳阳市	430600	430000	2	湖南省/岳阳市	
1842	岳阳楼区	430602	430600	3	湖南省/岳阳市/岳阳楼区	
1843	云溪区	430603	430600	3	湖南省/岳阳市/云溪区	
1844	君山区	430611	430600	3	湖南省/岳阳市/君山区	
1845	岳阳县	430621	430600	3	湖南省/岳阳市/岳阳县	
1846	华容县	430623	430600	3	湖南省/岳阳市/华容县	
1847	湘阴县	430624	430600	3	湖南省/岳阳市/湘阴县	
1848	平江县	430626	430600	3	湖南省/岳阳市/平江县	
1849	汨罗市	430681	430600	3	湖南省/岳阳市/汨罗市	
1850	临湘市	430682	430600	3	湖南省/岳阳市/临湘市	
1851	常德市	430700	430000	2	湖南省/常德市	
1852	武陵区	430702	430700	3	湖南省/常德市/武陵区	
1853	鼎城区	430703	430700	3	湖南省/常德市/鼎城区	
1854	安乡县	430721	430700	3	湖南省/常德市/安乡县	
1855	汉寿县	430722	430700	3	湖南省/常德市/汉寿县	
1856	澧县	430723	430700	3	湖南省/常德市/澧县	
1857	临澧县	430724	430700	3	湖南省/常德市/临澧县	
1858	桃源县	430725	430700	3	湖南省/常德市/桃源县	
1859	石门县	430726	430700	3	湖南省/常德市/石门县	
1860	津市市	430781	430700	3	湖南省/常德市/津市市	
1861	张家界市	430800	430000	2	湖南省/张家界市	
1862	永定区	430802	430800	3	湖南省/张家界市/永定区	
1863	武陵源区	430811	430800	3	湖南省/张家界市/武陵源区	
1864	慈利县	430821	430800	3	湖南省/张家界市/慈利县	
1865	桑植县	430822	430800	3	湖南省/张家界市/桑植县	
1866	益阳市	430900	430000	2	湖南省/益阳市	
1867	资阳区	430902	430900	3	湖南省/益阳市/资阳区	
1868	赫山区	430903	430900	3	湖南省/益阳市/赫山区	
1869	南县	430921	430900	3	湖南省/益阳市/南县	
1870	桃江县	430922	430900	3	湖南省/益阳市/桃江县	
1871	安化县	430923	430900	3	湖南省/益阳市/安化县	
1872	沅江市	430981	430900	3	湖南省/益阳市/沅江市	
1873	郴州市	431000	430000	2	湖南省/郴州市	
1874	北湖区	431002	431000	3	湖南省/郴州市/北湖区	
1875	苏仙区	431003	431000	3	湖南省/郴州市/苏仙区	
1876	桂阳县	431021	431000	3	湖南省/郴州市/桂阳县	
1877	宜章县	431022	431000	3	湖南省/郴州市/宜章县	
1878	永兴县	431023	431000	3	湖南省/郴州市/永兴县	
1879	嘉禾县	431024	431000	3	湖南省/郴州市/嘉禾县	
1880	临武县	431025	431000	3	湖南省/郴州市/临武县	
1881	汝城县	431026	431000	3	湖南省/郴州市/汝城县	
1882	桂东县	431027	431000	3	湖南省/郴州市/桂东县	
1883	安仁县	431028	431000	3	湖南省/郴州市/安仁县	
1884	资兴市	431081	431000	3	湖南省/郴州市/资兴市	
1885	永州市	431100	430000	2	湖南省/永州市	
1886	零陵区	431102	431100	3	湖南省/永州市/零陵区	
1887	冷水滩区	431103	431100	3	湖南省/永州市/冷水滩区	
1888	祁阳县	431121	431100	3	湖南省/永州市/祁阳县	
1889	东安县	431122	431100	3	湖南省/永州市/东安县	
1890	双牌县	431123	431100	3	湖南省/永州市/双牌县	
1891	道县	431124	431100	3	湖南省/永州市/道县	
1892	江永县	431125	431100	3	湖南省/永州市/江永县	
1893	宁远县	431126	431100	3	湖南省/永州市/宁远县	
1894	蓝山县	431127	431100	3	湖南省/永州市/蓝山县	
1895	新田县	431128	431100	3	湖南省/永州市/新田县	
1896	江华瑶族自治县	431129	431100	3	湖南省/永州市/江华瑶族自治县	
1897	怀化市	431200	430000	2	湖南省/怀化市	
1898	鹤城区	431202	431200	3	湖南省/怀化市/鹤城区	
1899	中方县	431221	431200	3	湖南省/怀化市/中方县	
1900	沅陵县	431222	431200	3	湖南省/怀化市/沅陵县	
1901	辰溪县	431223	431200	3	湖南省/怀化市/辰溪县	
1902	溆浦县	431224	431200	3	湖南省/怀化市/溆浦县	
1903	会同县	431225	431200	3	湖南省/怀化市/会同县	
1904	麻阳苗族自治县	431226	431200	3	湖南省/怀化市/麻阳苗族自治县	
1905	新晃侗族自治县	431227	431200	3	湖南省/怀化市/新晃侗族自治县	
1906	芷江侗族自治县	431228	431200	3	湖南省/怀化市/芷江侗族自治县	
1907	靖州苗族侗族自治县	431229	431200	3	湖南省/怀化市/靖州苗族侗族自治县	
1908	通道侗族自治县	431230	431200	3	湖南省/怀化市/通道侗族自治县	
1909	洪江市	431281	431200	3	湖南省/怀化市/洪江市	
1910	娄底市	431300	430000	2	湖南省/娄底市	
1911	娄星区	431302	431300	3	湖南省/娄底市/娄星区	
1912	双峰县	431321	431300	3	湖南省/娄底市/双峰县	
1913	新化县	431322	431300	3	湖南省/娄底市/新化县	
1914	冷水江市	431381	431300	3	湖南省/娄底市/冷水江市	
1915	涟源市	431382	431300	3	湖南省/娄底市/涟源市	
1916	湘西土家族苗族自治州	433100	430000	2	湖南省/湘西土家族苗族自治州	
1917	吉首市	433101	433100	3	湖南省/湘西土家族苗族自治州/吉首市	
1918	泸溪县	433122	433100	3	湖南省/湘西土家族苗族自治州/泸溪县	
1919	凤凰县	433123	433100	3	湖南省/湘西土家族苗族自治州/凤凰县	
1920	花垣县	433124	433100	3	湖南省/湘西土家族苗族自治州/花垣县	
1921	保靖县	433125	433100	3	湖南省/湘西土家族苗族自治州/保靖县	
1922	古丈县	433126	433100	3	湖南省/湘西土家族苗族自治州/古丈县	
1923	永顺县	433127	433100	3	湖南省/湘西土家族苗族自治州/永顺县	
1924	龙山县	433130	433100	3	湖南省/湘西土家族苗族自治州/龙山县	
1925	广东省	440000	000000	1	广东省	
1926	广州市	440100	440000	2	广东省/广州市	
1927	荔湾区	440103	440100	3	广东省/广州市/荔湾区	
1928	越秀区	440104	440100	3	广东省/广州市/越秀区	
1929	海珠区	440105	440100	3	广东省/广州市/海珠区	
1930	天河区	440106	440100	3	广东省/广州市/天河区	
1931	白云区	440111	440100	3	广东省/广州市/白云区	
1932	黄埔区	440112	440100	3	广东省/广州市/黄埔区	
1933	番禺区	440113	440100	3	广东省/广州市/番禺区	
1934	花都区	440114	440100	3	广东省/广州市/花都区	
1935	南沙区	440115	440100	3	广东省/广州市/南沙区	
1936	从化区	440117	440100	3	广东省/广州市/从化区	
1937	增城区	440118	440100	3	广东省/广州市/增城区	
1938	韶关市	440200	440000	2	广东省/韶关市	
1939	武江区	440203	440200	3	广东省/韶关市/武江区	
1940	浈江区	440204	440200	3	广东省/韶关市/浈江区	
1941	曲江区	440205	440200	3	广东省/韶关市/曲江区	
1942	始兴县	440222	440200	3	广东省/韶关市/始兴县	
1943	仁化县	440224	440200	3	广东省/韶关市/仁化县	
1944	翁源县	440229	440200	3	广东省/韶关市/翁源县	
1945	乳源瑶族自治县	440232	440200	3	广东省/韶关市/乳源瑶族自治县	
1946	新丰县	440233	440200	3	广东省/韶关市/新丰县	
1947	乐昌市	440281	440200	3	广东省/韶关市/乐昌市	
1948	南雄市	440282	440200	3	广东省/韶关市/南雄市	
1949	深圳市	440300	440000	2	广东省/深圳市	
1950	罗湖区	440303	440300	3	广东省/深圳市/罗湖区	
1951	福田区	440304	440300	3	广东省/深圳市/福田区	
1952	南山区	440305	440300	3	广东省/深圳市/南山区	
1953	宝安区	440306	440300	3	广东省/深圳市/宝安区	
1954	龙岗区	440307	440300	3	广东省/深圳市/龙岗区	
1955	盐田区	440308	440300	3	广东省/深圳市/盐田区	
1956	龙华区	440309	440300	3	广东省/深圳市/龙华区	
1957	坪山区	440310	440300	3	广东省/深圳市/坪山区	
1958	光明区	440311	440300	3	广东省/深圳市/光明区	
1959	珠海市	440400	440000	2	广东省/珠海市	
1960	香洲区	440402	440400	3	广东省/珠海市/香洲区	
1961	斗门区	440403	440400	3	广东省/珠海市/斗门区	
1962	金湾区	440404	440400	3	广东省/珠海市/金湾区	
1963	汕头市	440500	440000	2	广东省/汕头市	
1964	龙湖区	440507	440500	3	广东省/汕头市/龙湖区	
1965	金平区	440511	440500	3	广东省/汕头市/金平区	
1966	濠江区	440512	440500	3	广东省/汕头市/濠江区	
1967	潮阳区	440513	440500	3	广东省/汕头市/潮阳区	
1968	潮南区	440514	440500	3	广东省/汕头市/潮南区	
1969	澄海区	440515	440500	3	广东省/汕头市/澄海区	
1970	南澳县	440523	440500	3	广东省/汕头市/南澳县	
1971	佛山市	440600	440000	2	广东省/佛山市	
1972	禅城区	440604	440600	3	广东省/佛山市/禅城区	
1973	南海区	440605	440600	3	广东省/佛山市/南海区	
1974	顺德区	440606	440600	3	广东省/佛山市/顺德区	
1975	三水区	440607	440600	3	广东省/佛山市/三水区	
1976	高明区	440608	440600	3	广东省/佛山市/高明区	
1977	江门市	440700	440000	2	广东省/江门市	
1978	蓬江区	440703	440700	3	广东省/江门市/蓬江区	
1979	江海区	440704	440700	3	广东省/江门市/江海区	
1980	新会区	440705	440700	3	广东省/江门市/新会区	
1981	台山市	440781	440700	3	广东省/江门市/台山市	
1982	开平市	440783	440700	3	广东省/江门市/开平市	
1983	鹤山市	440784	440700	3	广东省/江门市/鹤山市	
1984	恩平市	440785	440700	3	广东省/江门市/恩平市	
1985	湛江市	440800	440000	2	广东省/湛江市	
1986	赤坎区	440802	440800	3	广东省/湛江市/赤坎区	
1987	霞山区	440803	440800	3	广东省/湛江市/霞山区	
1988	坡头区	440804	440800	3	广东省/湛江市/坡头区	
1989	麻章区	440811	440800	3	广东省/湛江市/麻章区	
1990	遂溪县	440823	440800	3	广东省/湛江市/遂溪县	
1991	徐闻县	440825	440800	3	广东省/湛江市/徐闻县	
1992	廉江市	440881	440800	3	广东省/湛江市/廉江市	
1993	雷州市	440882	440800	3	广东省/湛江市/雷州市	
1994	吴川市	440883	440800	3	广东省/湛江市/吴川市	
1995	茂名市	440900	440000	2	广东省/茂名市	
1996	茂南区	440902	440900	3	广东省/茂名市/茂南区	
1997	电白区	440904	440900	3	广东省/茂名市/电白区	
1998	高州市	440981	440900	3	广东省/茂名市/高州市	
1999	化州市	440982	440900	3	广东省/茂名市/化州市	
2000	信宜市	440983	440900	3	广东省/茂名市/信宜市	
2001	肇庆市	441200	440000	2	广东省/肇庆市	
2002	端州区	441202	441200	3	广东省/肇庆市/端州区	
2003	鼎湖区	441203	441200	3	广东省/肇庆市/鼎湖区	
2004	高要区	441204	441200	3	广东省/肇庆市/高要区	
2005	广宁县	441223	441200	3	广东省/肇庆市/广宁县	
2006	怀集县	441224	441200	3	广东省/肇庆市/怀集县	
2007	封开县	441225	441200	3	广东省/肇庆市/封开县	
2008	德庆县	441226	441200	3	广东省/肇庆市/德庆县	
2009	四会市	441284	441200	3	广东省/肇庆市/四会市	
2010	惠州市	441300	440000	2	广东省/惠州市	
2011	惠城区	441302	441300	3	广东省/惠州市/惠城区	
2012	惠阳区	441303	441300	3	广东省/惠州市/惠阳区	
2013	博罗县	441322	441300	3	广东省/惠州市/博罗县	
2014	惠东县	441323	441300	3	广东省/惠州市/惠东县	
2015	龙门县	441324	441300	3	广东省/惠州市/龙门县	
2016	梅州市	441400	440000	2	广东省/梅州市	
2017	梅江区	441402	441400	3	广东省/梅州市/梅江区	
2018	梅县区	441403	441400	3	广东省/梅州市/梅县区	
2019	大埔县	441422	441400	3	广东省/梅州市/大埔县	
2020	丰顺县	441423	441400	3	广东省/梅州市/丰顺县	
2021	五华县	441424	441400	3	广东省/梅州市/五华县	
2022	平远县	441426	441400	3	广东省/梅州市/平远县	
2023	蕉岭县	441427	441400	3	广东省/梅州市/蕉岭县	
2024	兴宁市	441481	441400	3	广东省/梅州市/兴宁市	
2025	汕尾市	441500	440000	2	广东省/汕尾市	
2026	城区	441502	441500	3	广东省/汕尾市/城区	
2027	海丰县	441521	441500	3	广东省/汕尾市/海丰县	
2028	陆河县	441523	441500	3	广东省/汕尾市/陆河县	
2029	陆丰市	441581	441500	3	广东省/汕尾市/陆丰市	
2030	河源市	441600	440000	2	广东省/河源市	
2031	源城区	441602	441600	3	广东省/河源市/源城区	
2032	紫金县	441621	441600	3	广东省/河源市/紫金县	
2033	龙川县	441622	441600	3	广东省/河源市/龙川县	
2034	连平县	441623	441600	3	广东省/河源市/连平县	
2035	和平县	441624	441600	3	广东省/河源市/和平县	
2036	东源县	441625	441600	3	广东省/河源市/东源县	
2037	阳江市	441700	440000	2	广东省/阳江市	
2038	江城区	441702	441700	3	广东省/阳江市/江城区	
2039	阳东区	441704	441700	3	广东省/阳江市/阳东区	
2040	阳西县	441721	441700	3	广东省/阳江市/阳西县	
2041	阳春市	441781	441700	3	广东省/阳江市/阳春市	
2042	清远市	441800	440000	2	广东省/清远市	
2043	清城区	441802	441800	3	广东省/清远市/清城区	
2044	清新区	441803	441800	3	广东省/清远市/清新区	
2045	佛冈县	441821	441800	3	广东省/清远市/佛冈县	
2046	阳山县	441823	441800	3	广东省/清远市/阳山县	
2047	连山壮族瑶族自治县	441825	441800	3	广东省/清远市/连山壮族瑶族自治县	
2048	连南瑶族自治县	441826	441800	3	广东省/清远市/连南瑶族自治县	
2049	英德市	441881	441800	3	广东省/清远市/英德市	
2050	连州市	441882	441800	3	广东省/清远市/连州市	
2051	东莞市	441900	440000	2	广东省/东莞市	
2052	中山市	442000	440000	2	广东省/中山市	
2053	潮州市	445100	440000	2	广东省/潮州市	
2054	湘桥区	445102	445100	3	广东省/潮州市/湘桥区	
2055	潮安区	445103	445100	3	广东省/潮州市/潮安区	
2056	饶平县	445122	445100	3	广东省/潮州市/饶平县	
2057	揭阳市	445200	440000	2	广东省/揭阳市	
2058	榕城区	445202	445200	3	广东省/揭阳市/榕城区	
2059	揭东区	445203	445200	3	广东省/揭阳市/揭东区	
2060	揭西县	445222	445200	3	广东省/揭阳市/揭西县	
2061	惠来县	445224	445200	3	广东省/揭阳市/惠来县	
2062	普宁市	445281	445200	3	广东省/揭阳市/普宁市	
2063	云浮市	445300	440000	2	广东省/云浮市	
2064	云城区	445302	445300	3	广东省/云浮市/云城区	
2065	云安区	445303	445300	3	广东省/云浮市/云安区	
2066	新兴县	445321	445300	3	广东省/云浮市/新兴县	
2067	郁南县	445322	445300	3	广东省/云浮市/郁南县	
2068	罗定市	445381	445300	3	广东省/云浮市/罗定市	
2069	广西壮族自治区	450000	000000	1	广西壮族自治区	
2070	南宁市	450100	450000	2	广西壮族自治区/南宁市	
2071	兴宁区	450102	450100	3	广西壮族自治区/南宁市/兴宁区	
2072	青秀区	450103	450100	3	广西壮族自治区/南宁市/青秀区	
2073	江南区	450105	450100	3	广西壮族自治区/南宁市/江南区	
2074	西乡塘区	450107	450100	3	广西壮族自治区/南宁市/西乡塘区	
2075	良庆区	450108	450100	3	广西壮族自治区/南宁市/良庆区	
2076	邕宁区	450109	450100	3	广西壮族自治区/南宁市/邕宁区	
2077	武鸣区	450110	450100	3	广西壮族自治区/南宁市/武鸣区	
2078	隆安县	450123	450100	3	广西壮族自治区/南宁市/隆安县	
2079	马山县	450124	450100	3	广西壮族自治区/南宁市/马山县	
2080	上林县	450125	450100	3	广西壮族自治区/南宁市/上林县	
2081	宾阳县	450126	450100	3	广西壮族自治区/南宁市/宾阳县	
2082	横县	450127	450100	3	广西壮族自治区/南宁市/横县	
2083	柳州市	450200	450000	2	广西壮族自治区/柳州市	
2084	城中区	450202	450200	3	广西壮族自治区/柳州市/城中区	
2085	鱼峰区	450203	450200	3	广西壮族自治区/柳州市/鱼峰区	
2086	柳南区	450204	450200	3	广西壮族自治区/柳州市/柳南区	
2087	柳北区	450205	450200	3	广西壮族自治区/柳州市/柳北区	
2088	柳江区	450206	450200	3	广西壮族自治区/柳州市/柳江区	
2089	柳城县	450222	450200	3	广西壮族自治区/柳州市/柳城县	
2090	鹿寨县	450223	450200	3	广西壮族自治区/柳州市/鹿寨县	
2091	融安县	450224	450200	3	广西壮族自治区/柳州市/融安县	
2092	融水苗族自治县	450225	450200	3	广西壮族自治区/柳州市/融水苗族自治县	
2093	三江侗族自治县	450226	450200	3	广西壮族自治区/柳州市/三江侗族自治县	
2094	桂林市	450300	450000	2	广西壮族自治区/桂林市	
2095	秀峰区	450302	450300	3	广西壮族自治区/桂林市/秀峰区	
2096	叠彩区	450303	450300	3	广西壮族自治区/桂林市/叠彩区	
2097	象山区	450304	450300	3	广西壮族自治区/桂林市/象山区	
2098	七星区	450305	450300	3	广西壮族自治区/桂林市/七星区	
2099	雁山区	450311	450300	3	广西壮族自治区/桂林市/雁山区	
2100	临桂区	450312	450300	3	广西壮族自治区/桂林市/临桂区	
2101	阳朔县	450321	450300	3	广西壮族自治区/桂林市/阳朔县	
2102	灵川县	450323	450300	3	广西壮族自治区/桂林市/灵川县	
2103	全州县	450324	450300	3	广西壮族自治区/桂林市/全州县	
2104	兴安县	450325	450300	3	广西壮族自治区/桂林市/兴安县	
2105	永福县	450326	450300	3	广西壮族自治区/桂林市/永福县	
2106	灌阳县	450327	450300	3	广西壮族自治区/桂林市/灌阳县	
2107	龙胜各族自治县	450328	450300	3	广西壮族自治区/桂林市/龙胜各族自治县	
2108	资源县	450329	450300	3	广西壮族自治区/桂林市/资源县	
2109	平乐县	450330	450300	3	广西壮族自治区/桂林市/平乐县	
2110	荔浦市	450381	450300	3	广西壮族自治区/桂林市/荔浦市	
2111	恭城瑶族自治县	450332	450300	3	广西壮族自治区/桂林市/恭城瑶族自治县	
2112	梧州市	450400	450000	2	广西壮族自治区/梧州市	
2113	万秀区	450403	450400	3	广西壮族自治区/梧州市/万秀区	
2114	长洲区	450405	450400	3	广西壮族自治区/梧州市/长洲区	
2115	龙圩区	450406	450400	3	广西壮族自治区/梧州市/龙圩区	
2116	苍梧县	450421	450400	3	广西壮族自治区/梧州市/苍梧县	
2117	藤县	450422	450400	3	广西壮族自治区/梧州市/藤县	
2118	蒙山县	450423	450400	3	广西壮族自治区/梧州市/蒙山县	
2119	岑溪市	450481	450400	3	广西壮族自治区/梧州市/岑溪市	
2120	北海市	450500	450000	2	广西壮族自治区/北海市	
2121	海城区	450502	450500	3	广西壮族自治区/北海市/海城区	
2122	银海区	450503	450500	3	广西壮族自治区/北海市/银海区	
2123	铁山港区	450512	450500	3	广西壮族自治区/北海市/铁山港区	
2124	合浦县	450521	450500	3	广西壮族自治区/北海市/合浦县	
2125	防城港市	450600	450000	2	广西壮族自治区/防城港市	
2126	港口区	450602	450600	3	广西壮族自治区/防城港市/港口区	
2127	防城区	450603	450600	3	广西壮族自治区/防城港市/防城区	
2128	上思县	450621	450600	3	广西壮族自治区/防城港市/上思县	
2129	东兴市	450681	450600	3	广西壮族自治区/防城港市/东兴市	
2130	钦州市	450700	450000	2	广西壮族自治区/钦州市	
2131	钦南区	450702	450700	3	广西壮族自治区/钦州市/钦南区	
2132	钦北区	450703	450700	3	广西壮族自治区/钦州市/钦北区	
2133	灵山县	450721	450700	3	广西壮族自治区/钦州市/灵山县	
2134	浦北县	450722	450700	3	广西壮族自治区/钦州市/浦北县	
2135	贵港市	450800	450000	2	广西壮族自治区/贵港市	
2136	港北区	450802	450800	3	广西壮族自治区/贵港市/港北区	
2137	港南区	450803	450800	3	广西壮族自治区/贵港市/港南区	
2138	覃塘区	450804	450800	3	广西壮族自治区/贵港市/覃塘区	
2139	平南县	450821	450800	3	广西壮族自治区/贵港市/平南县	
2140	桂平市	450881	450800	3	广西壮族自治区/贵港市/桂平市	
2141	玉林市	450900	450000	2	广西壮族自治区/玉林市	
2142	玉州区	450902	450900	3	广西壮族自治区/玉林市/玉州区	
2143	福绵区	450903	450900	3	广西壮族自治区/玉林市/福绵区	
2144	容县	450921	450900	3	广西壮族自治区/玉林市/容县	
2145	陆川县	450922	450900	3	广西壮族自治区/玉林市/陆川县	
2146	博白县	450923	450900	3	广西壮族自治区/玉林市/博白县	
2147	兴业县	450924	450900	3	广西壮族自治区/玉林市/兴业县	
2148	北流市	450981	450900	3	广西壮族自治区/玉林市/北流市	
2149	百色市	451000	450000	2	广西壮族自治区/百色市	
2150	右江区	451002	451000	3	广西壮族自治区/百色市/右江区	
2151	田阳区	451003	451000	3	广西壮族自治区/百色市/田阳区	
2152	田东县	451022	451000	3	广西壮族自治区/百色市/田东县	
2153	德保县	451024	451000	3	广西壮族自治区/百色市/德保县	
2154	那坡县	451026	451000	3	广西壮族自治区/百色市/那坡县	
2155	凌云县	451027	451000	3	广西壮族自治区/百色市/凌云县	
